type,year,title,authors,venue,status,link,bibtex,note
Journal,2022,"DigBug – Pre/Post-processing Operator Selection for Accurate Bug Localization","K. Kim, S. Ghatpande, K. Liu, A. Koyuncu, D. Kim, T. Bissyandé, J. Klein, Y. Le Traon","The Journal of Software Systems (JSS)",,#,,
Journal,2021,"Where were the Repair Ingredients for Defects4j Bugs?","D. Yang, K. Liu, D. Kim, A. Koyuncu, K. Kim, H. Tian, Y. Lei, X. Mao, J. Klein, T. Bissyandé","Empirical Software Engineering (EMSE)",,#,,
Conference,2019,"Learning to spot and refactor inconsistent method names.","K. Liu, D. Kim, T. Bissyandé, T. Kim, K. Kim, A. Koyuncu, S. Kim, Y. Traon.","Proceedings of the 41th International Conference on Software Engineering (ICSE)",,#,,
Conference,2018,"FaCoY - A Code-to-Code Search Engine.","K. Kim, D. Kim, T. Bissyandé, E. Choi, L. Li, J. Klein, Y. Traon.","Proceedings of the 40th International Conference on Software Engineering (ICSE)",,#,,
Conference,2018,"LSRepair - Live Search of Fix Ingredients for Automated Program Repair.","K. Liu, D. Kim, L. Li, A. Koyuncu, K. Kim, T. Bissyandé.","Proceedings of the 25th Asia-Pacific Software Engineering Conference (APSEC)",,#,,
Conference,2016,"A Distributed Survey Automation Based on a Customizable Form Template.","J. Lee, K. Kim, W. Jung.","Proceedings of the 11th KIPS International Conference on Ubiquitous Information Technologies and Applications (CUTE)",,#,,
Conference,2016,"GPES - Supporting Source Code Analysis by Extracting the Evolutionary History of Software Structure and Quality.","J. Lee, Y. Lee, K. Kim, J. Hong, W. Jung.","Proceedings of the 11th Asia Pacific International Conference on Information Science and Technology (APIC-IST)",,#,,
Conference,2016,"Identifying a Component Co-usability using Similarity Metric.","J. Lee, K. Kim, W. Jung.","Proceedings of the 18th Korea Conference on Software Engineering (KCSE)",,#,,
Conference,2015,"Analyzing Developer’s Share of Code Based on Abstract Syntax Tree.","Y. Lee, J. Lee, K. Kim, W. Jung.","Proceedings of the Korean Society of Computer Information Conference (KSCI)",,#,,
Journal,2018,"Augmenting and Structuring User Queries to Support Efficient Free-Form Code Search.","R. Sirres, T. Bissyandé, D. Kim, D. Lo, J. Klein, K. Kim, Y. Le Traon.","Empirical Software Engineering (EMSE)",,#,,
Journal,2017,"Extracting the Source Code Context to Predict Import Changes using GPES.","J. Lee, K. Kim, Y. Lee, J. Hong, Y. Seo, B. Yang, W. Jung.","KSII Transactions on Internet and Information Systems (KSII)",,#,,
Journal,2016,"Design and Implementation of a Data Extraction Tool for Analyzing Software Changes.","Y. Lee, K. Kim, J. Lee, W. Jung.","Journal of The Korea Society of Computer and Information (KSCI)",,#,,
